Eleitor#	Região	Candidato
607	Norte	Enia da Toca da Onça 
608	Oeste: Barra e JPA	Valéria Minha Prima 
609	Oeste: Outros	Enia da Toca da Onça 
610	Oeste: Barra e JPA	Gordinho da Usina 
611	Grande Méier	Ângela do Zé Rolinha 
612	Norte	Alessandro Fuscão 
613	Oeste: Grande Bangu	Ângela do Zé Rolinha 
614	Oeste: Barra e JPA	Ângela do Zé Rolinha 
615	Oeste: Outros	Agenor Passa Régua 
616	Oeste: Outros	Ferreira do Suvacão 
617	Oeste: Outros	Adriano Pirulito 
618	Grande Méier	Adriano Pirulito 
619	Norte	Gordinho da Usina 
620	Oeste: Outros	Enia da Toca da Onça 
621	Norte	Alessandro Fuscão 
622	Oeste: Outros	Ângela do Zé Rolinha 
623	Oeste: Barra e JPA	Dudu Cremoso 
624	Oeste: Grande Bangu	Quinzinho da Água Parada 
625	Norte	Dudu Cremoso 
626	Oeste: Grande Bangu	Dudu Cremoso 
627	Oeste: Outros	Quinzinho da Água Parada 
628	Norte	Agenor Passa Régua 
629	Oeste: Grande Bangu	Adriano Pirulito 
630	Oeste: Barra e JPA	Dudu Cremoso 
631	Grande Méier	Quinzinho da Água Parada 
632	Oeste: Barra e JPA	Ferreira do Suvacão 
633	Oeste: Outros	Ângela do Zé Rolinha 
634	Oeste: Outros	Dudu Cremoso 
635	Grande Méier	Gordinho da Usina 
636	Norte	Gordinho da Usina 
637	Oeste: Outros	Dudu Cremoso 
638	Oeste: Outros	Valéria Minha Prima 
639	Grande Méier	Gordinho da Usina 
640	Grande Méier	Alessandro Fuscão 
641	Grande Méier	Dudu Cremoso 
642	Grande Méier	Gordinho da Usina 
643	Grande Méier	Quinzinho da Água Parada 
644	Grande Méier	Alessandro Fuscão 
645	Oeste: Grande Bangu	Gordinho da Usina 
646	Norte	Valéria Minha Prima 
647	Grande Méier	Ferreira do Suvacão 
648	Oeste: Grande Bangu	Valéria Minha Prima 
649	Grande Méier	Enia da Toca da Onça 
650	Oeste: Barra e JPA	Adriano Pirulito 
651	Oeste: Grande Bangu	Dudu Cremoso 
652	Oeste: Grande Bangu	Alessandro Fuscão 
653	Grande Méier	Alessandro Fuscão 
654	Oeste: Barra e JPA	Dudu Cremoso 
655	Oeste: Barra e JPA	Gordinho da Usina 
656	Norte	Quinzinho da Água Parada 
657	Oeste: Barra e JPA	Valéria Minha Prima 
658	Grande Méier	Adriano Pirulito 
659	Norte	Gordinho da Usina 
660	Norte	Quinzinho da Água Parada 
661	Oeste: Grande Bangu	Valéria Minha Prima 
662	Grande Méier	Ferreira do Suvacão 
663	Grande Méier	Professor Goiaba 
664	Oeste: Outros	Enia da Toca da Onça 
665	Oeste: Barra e JPA	Ângela do Zé Rolinha 
666	Oeste: Barra e JPA	Ângela do Zé Rolinha 
667	Oeste: Barra e JPA	Gordinho da Usina 
668	Oeste: Outros	Agenor Passa Régua 
669	Oeste: Barra e JPA	Adriano Pirulito 
670	Grande Méier	Gordinho da Usina 
671	Grande Méier	Enia da Toca da Onça 
672	Grande Méier	Gordinho da Usina 
673	Oeste: Grande Bangu	Professor Goiaba 
674	Oeste: Grande Bangu	Enia da Toca da Onça 
675	Norte	Gordinho da Usina 
676	Oeste: Grande Bangu	Dudu Cremoso 
677	Grande Méier	Agenor Passa Régua 
678	Oeste: Grande Bangu	Ângela do Zé Rolinha 
679	Grande Méier	Enia da Toca da Onça 
680	Oeste: Outros	Gordinho da Usina 
681	Norte	Adriano Pirulito 
682	Norte	Quinzinho da Água Parada 
683	Oeste: Barra e JPA	Adriano Pirulito 
684	Norte	Ferreira do Suvacão 
685	Oeste: Barra e JPA	Gordinho da Usina 
686	Norte	Agenor Passa Régua 
687	Grande Méier	Ferreira do Suvacão 
688	Oeste: Outros	Adriano Pirulito 
689	Norte	Ângela do Zé Rolinha 
690	Oeste: Grande Bangu	Ferreira do Suvacão 
691	Grande Méier	Agenor Passa Régua 
692	Oeste: Outros	Gordinho da Usina 
693	Oeste: Outros	Agenor Passa Régua 
694	Grande Méier	Agenor Passa Régua 
695	Grande Méier	Alessandro Fuscão 
696	Grande Méier	Dudu Cremoso 
697	Oeste: Outros	Agenor Passa Régua 
698	Oeste: Barra e JPA	Agenor Passa Régua 
699	Oeste: Barra e JPA	Valéria Minha Prima 
700	Grande Méier	Valéria Minha Prima 
701	Oeste: Grande Bangu	Enia da Toca da Onça 
702	Oeste: Barra e JPA	Ferreira do Suvacão 
703	Oeste: Outros	Dudu Cremoso 
704	Norte	Agenor Passa Régua 
705	Oeste: Outros	Alessandro Fuscão 
706	Oeste: Grande Bangu	Ferreira do Suvacão 
707	Grande Méier	Adriano Pirulito 
708	Oeste: Barra e JPA	Professor Goiaba 
709	Norte	Ferreira do Suvacão 
710	Oeste: Grande Bangu	Quinzinho da Água Parada 
711	Norte	Gordinho da Usina 
712	Norte	Agenor Passa Régua 
713	Oeste: Barra e JPA	Agenor Passa Régua 
714	Oeste: Barra e JPA	Ângela do Zé Rolinha 
715	Oeste: Barra e JPA	Professor Goiaba 
716	Oeste: Outros	Quinzinho da Água Parada 
717	Oeste: Outros	Alessandro Fuscão 
718	Norte	Enia da Toca da Onça 
719	Oeste: Grande Bangu	Adriano Pirulito 
720	Norte	Valéria Minha Prima 
721	Oeste: Barra e JPA	Ferreira do Suvacão 
722	Oeste: Barra e JPA	Ferreira do Suvacão 
723	Oeste: Grande Bangu	Professor Goiaba 
724	Oeste: Grande Bangu	Adriano Pirulito 
725	Norte	Alessandro Fuscão 
726	Oeste: Outros	Agenor Passa Régua 
727	Oeste: Barra e JPA	Agenor Passa Régua 
728	Grande Méier	Ângela do Zé Rolinha 
729	Oeste: Outros	Enia da Toca da Onça 
730	Norte	Quinzinho da Água Parada 
731	Oeste: Grande Bangu	Gordinho da Usina 
732	Grande Méier	Ferreira do Suvacão 
733	Grande Méier	Professor Goiaba 
734	Norte	Gordinho da Usina 
735	Oeste: Barra e JPA	Dudu Cremoso 
736	Norte	Dudu Cremoso 
737	Norte	Valéria Minha Prima 
738	Norte	Alessandro Fuscão 
739	Oeste: Outros	Ferreira do Suvacão 
740	Oeste: Barra e JPA	Alessandro Fuscão 
741	Oeste: Barra e JPA	Professor Goiaba 
742	Grande Méier	Dudu Cremoso 
743	Norte	Quinzinho da Água Parada 
744	Grande Méier	Quinzinho da Água Parada 
745	Grande Méier	Valéria Minha Prima 
746	Grande Méier	Adriano Pirulito 
747	Oeste: Outros	Gordinho da Usina 
748	Norte	Enia da Toca da Onça 
749	Oeste: Grande Bangu	Professor Goiaba 
750	Oeste: Barra e JPA	Quinzinho da Água Parada 
751	Grande Méier	Professor Goiaba 
752	Oeste: Barra e JPA	Professor Goiaba 
753	Grande Méier	Gordinho da Usina 
754	Norte	Professor Goiaba 
755	Norte	Alessandro Fuscão 
756	Oeste: Grande Bangu	Adriano Pirulito 
757	Grande Méier	Quinzinho da Água Parada 
758	Oeste: Outros	Alessandro Fuscão 
759	Oeste: Barra e JPA	Gordinho da Usina 
760	Oeste: Barra e JPA	Quinzinho da Água Parada 
761	Norte	Valéria Minha Prima 
762	Oeste: Barra e JPA	Ferreira do Suvacão 
763	Oeste: Grande Bangu	Agenor Passa Régua 
764	Oeste: Barra e JPA	Valéria Minha Prima 
765	Oeste: Grande Bangu	Enia da Toca da Onça 
766	Norte	Professor Goiaba 
767	Norte	Professor Goiaba 
768	Grande Méier	Quinzinho da Água Parada 
769	Grande Méier	Ferreira do Suvacão 
770	Oeste: Outros	Professor Goiaba 
771	Oeste: Outros	Ângela do Zé Rolinha 
772	Oeste: Outros	Enia da Toca da Onça 
773	Oeste: Outros	Gordinho da Usina 
774	Oeste: Grande Bangu	Quinzinho da Água Parada 
775	Oeste: Outros	Professor Goiaba 
776	Oeste: Grande Bangu	Valéria Minha Prima 
777	Oeste: Barra e JPA	Enia da Toca da Onça 
778	Oeste: Grande Bangu	Gordinho da Usina 
779	Oeste: Grande Bangu	Dudu Cremoso 
780	Grande Méier	Dudu Cremoso 
781	Norte	Adriano Pirulito 
782	Oeste: Barra e JPA	Ferreira do Suvacão 
783	Grande Méier	Ângela do Zé Rolinha 
784	Oeste: Grande Bangu	Alessandro Fuscão 
785	Norte	Ângela do Zé Rolinha 
786	Oeste: Grande Bangu	Professor Goiaba 
787	Oeste: Grande Bangu	Professor Goiaba 
788	Oeste: Outros	Adriano Pirulito 
789	Grande Méier	Ferreira do Suvacão 
790	Norte	Professor Goiaba 
791	Oeste: Outros	Adriano Pirulito 
792	Oeste: Outros	Professor Goiaba 
793	Norte	Ângela do Zé Rolinha 
794	Grande Méier	Adriano Pirulito 
795	Norte	Alessandro Fuscão 
796	Grande Méier	Ângela do Zé Rolinha 
797	Oeste: Barra e JPA	Ferreira do Suvacão 
798	Grande Méier	Adriano Pirulito 
799	Oeste: Outros	Ferreira do Suvacão 
800	Grande Méier	Quinzinho da Água Parada 
801	Oeste: Outros	Adriano Pirulito 
802	Grande Méier	Professor Goiaba 
803	Oeste: Outros	Gordinho da Usina 
804	Grande Méier	Adriano Pirulito 
805	Oeste: Grande Bangu	Ângela do Zé Rolinha 
806	Oeste: Barra e JPA	Professor Goiaba 
807	Norte	Quinzinho da Água Parada 
808	Norte	Dudu Cremoso 
809	Grande Méier	Alessandro Fuscão 
810	Grande Méier	Quinzinho da Água Parada 
811	Norte	Quinzinho da Água Parada 
812	Grande Méier	Adriano Pirulito 
813	Norte	Ferreira do Suvacão 
814	Grande Méier	Gordinho da Usina 
815	Oeste: Barra e JPA	Agenor Passa Régua 
816	Grande Méier	Alessandro Fuscão 
817	Grande Méier	Enia da Toca da Onça 
818	Oeste: Barra e JPA	Gordinho da Usina 
819	Grande Méier	Quinzinho da Água Parada 
820	Grande Méier	Ferreira do Suvacão 
821	Oeste: Grande Bangu	Dudu Cremoso 
822	Oeste: Outros	Ângela do Zé Rolinha 
823	Oeste: Barra e JPA	Professor Goiaba 
824	Norte	Valéria Minha Prima 
825	Norte	Ferreira do Suvacão 
826	Oeste: Barra e JPA	Valéria Minha Prima 
827	Oeste: Outros	Alessandro Fuscão 
828	Oeste: Grande Bangu	Ângela do Zé Rolinha 
829	Oeste: Barra e JPA	Dudu Cremoso 
830	Oeste: Outros	Adriano Pirulito 
831	Oeste: Barra e JPA	Professor Goiaba 
832	Oeste: Grande Bangu	Adriano Pirulito 
833	Oeste: Outros	Professor Goiaba 
834	Oeste: Outros	Ferreira do Suvacão 
835	Oeste: Outros	Quinzinho da Água Parada 
836	Grande Méier	Ferreira do Suvacão 
837	Oeste: Outros	Enia da Toca da Onça 
838	Oeste: Outros	Professor Goiaba 
839	Oeste: Outros	Dudu Cremoso 
840	Oeste: Grande Bangu	Valéria Minha Prima 
841	Oeste: Outros	Alessandro Fuscão 
842	Oeste: Barra e JPA	Quinzinho da Água Parada 
843	Norte	Adriano Pirulito 
844	Norte	Enia da Toca da Onça 
845	Oeste: Outros	Alessandro Fuscão 
846	Oeste: Grande Bangu	Professor Goiaba 
847	Norte	Ferreira do Suvacão 
848	Oeste: Barra e JPA	Ferreira do Suvacão 
849	Oeste: Grande Bangu	Ângela do Zé Rolinha 
850	Oeste: Barra e JPA	Alessandro Fuscão 
851	Oeste: Outros	Professor Goiaba 
852	Oeste: Outros	Valéria Minha Prima 
853	Grande Méier	Ângela do Zé Rolinha 
854	Oeste: Outros	Gordinho da Usina 
855	Oeste: Barra e JPA	Adriano Pirulito 
856	Norte	Madurão 
857	Oeste: Grande Bangu	Ricardo Fucinho 
858	Grande Méier	Madurão 
859	Oeste: Outros	Ricardo Fucinho 
860	Oeste: Barra e JPA	Itamar Boi 
861	Norte	Advogado de Deus 
862	Oeste: Outros	Madurão 
863	Oeste: Outros	Donizete Gato Preto 
864	Norte	Sallim Solução Amor no Coração 
865	Oeste: Barra e JPA	Madurão 
866	Norte	Madurão 
867	Oeste: Outros	Madurão 
868	Norte	Itamar Boi 
869	Oeste: Grande Bangu	Advogado de Deus 
870	Norte	Madurão 
871	Grande Méier	Tadeu Tô Contigo 
872	Grande Méier	Donizete Gato Preto 
873	Grande Méier	Madurão 
874	Oeste: Grande Bangu	Donizete Gato Preto 
875	Oeste: Grande Bangu	Itamar Boi 
876	Oeste: Barra e JPA	Tadeu Tô Contigo 
877	Oeste: Outros	Itamar Boi 
878	Norte	Sallim Solução Amor no Coração 
879	Oeste: Grande Bangu	Tadeu Tô Contigo 
880	Oeste: Outros	Madurão 
881	Oeste: Grande Bangu	Tadeu Tô Contigo 
882	Grande Méier	Ricardo Fucinho 
883	Grande Méier	Donizete Gato Preto 
884	Oeste: Barra e JPA	Tadeu Tô Contigo 
885	Oeste: Barra e JPA	Madurão 
886	Oeste: Outros	Ricardo Fucinho 
887	Norte	Madurão 
888	Grande Méier	Sallim Solução Amor no Coração 
889	Grande Méier	Advogado de Deus 
890	Oeste: Barra e JPA	Tadeu Tô Contigo 
891	Oeste: Barra e JPA	Advogado de Deus 
892	Oeste: Outros	Tadeu Tô Contigo 
893	Grande Méier	Advogado de Deus 
894	Oeste: Grande Bangu	Donizete Gato Preto 
895	Oeste: Outros	Advogado de Deus 
896	Oeste: Outros	Madurão 
897	Norte	Ricardo Fucinho 
898	Oeste: Outros	Ricardo Fucinho 
899	Oeste: Outros	Sallim Solução Amor no Coração 
900	Oeste: Grande Bangu	Tadeu Tô Contigo 
901	Grande Méier	Sallim Solução Amor no Coração 
902	Oeste: Grande Bangu	Itamar Boi 
903	Oeste: Grande Bangu	Madurão 
904	Oeste: Grande Bangu	Itamar Boi 
905	Oeste: Grande Bangu	Sallim Solução Amor no Coração 
906	Oeste: Grande Bangu	Madurão 
907	Oeste: Outros	Advogado de Deus 
908	Grande Méier	Itamar Boi 
909	Norte	Tadeu Tô Contigo 
910	Norte	Madurão 
911	Oeste: Grande Bangu	Madurão 
912	Oeste: Outros	Itamar Boi 
913	Norte	Donizete Gato Preto 
914	Grande Méier	Tadeu Tô Contigo 
915	Oeste: Grande Bangu	Donizete Gato Preto 
916	Oeste: Barra e JPA	Madurão 
917	Norte	Itamar Boi 
918	Norte	Itamar Boi 
919	Norte	Madurão 
920	Oeste: Outros	Advogado de Deus 
921	Grande Méier	Advogado de Deus 
922	Oeste: Grande Bangu	Madurão 
923	Oeste: Barra e JPA	Advogado de Deus 
924	Oeste: Barra e JPA	Tadeu Tô Contigo 
925	Oeste: Outros	Tadeu Tô Contigo 
926	Oeste: Outros	Madurão 
927	Oeste: Grande Bangu	Itamar Boi 
928	Oeste: Barra e JPA	Donizete Gato Preto 
929	Grande Méier	Madurão 
930	Oeste: Outros	Ricardo Fucinho 
931	Oeste: Grande Bangu	Madurão 
932	Norte	Madurão 
933	Grande Méier	Madurão 
934	Oeste: Outros	Donizete Gato Preto 
935	Grande Méier	Itamar Boi 
936	Oeste: Outros	Madurão 
937	Oeste: Grande Bangu	Advogado de Deus 
938	Oeste: Grande Bangu	Sallim Solução Amor no Coração 
939	Oeste: Outros	Tadeu Tô Contigo 
940	Oeste: Grande Bangu	Ricardo Fucinho 
941	Oeste: Barra e JPA	Advogado de Deus 
942	Oeste: Barra e JPA	Sallim Solução Amor no Coração 
943	Norte	Madurão 
944	Oeste: Grande Bangu	Tadeu Tô Contigo 
945	Grande Méier	Ricardo Fucinho 
946	Norte	Sallim Solução Amor no Coração 
947	Oeste: Grande Bangu	Itamar Boi 
948	Norte	Sallim Solução Amor no Coração 
949	Oeste: Outros	Ricardo Fucinho 
950	Oeste: Outros	Itamar Boi 
951	Norte	Advogado de Deus 
952	Oeste: Barra e JPA	Donizete Gato Preto 
953	Oeste: Barra e JPA	Ricardo Fucinho 
954	Oeste: Outros	Advogado de Deus 
955	Oeste: Grande Bangu	Itamar Boi 
956	Oeste: Outros	Ricardo Fucinho 
957	Oeste: Outros	Itamar Boi 
958	Oeste: Outros	Sallim Solução Amor no Coração 
959	Norte	Donizete Gato Preto 
960	Oeste: Grande Bangu	Madurão 
961	Grande Méier	Donizete Gato Preto 
962	Norte	Sallim Solução Amor no Coração 
963	Grande Méier	Donizete Gato Preto 
964	Oeste: Outros	Sallim Solução Amor no Coração 
965	Norte	Tadeu Tô Contigo 
966	Oeste: Barra e JPA	Ricardo Fucinho 
967	Norte	Donizete Gato Preto 
968	Oeste: Barra e JPA	Ricardo Fucinho 
969	Norte	Advogado de Deus 
970	Oeste: Outros	Sallim Solução Amor no Coração 
971	Oeste: Grande Bangu	Itamar Boi 
972	Grande Méier	Donizete Gato Preto 
973	Norte	Sallim Solução Amor no Coração 
974	Oeste: Barra e JPA	Ricardo Fucinho 
975	Oeste: Outros	Madurão 
976	Oeste: Outros	Sallim Solução Amor no Coração 
977	Norte	Itamar Boi 
978	Grande Méier	Donizete Gato Preto 
979	Oeste: Outros	Tadeu Tô Contigo 
980	Norte	Itamar Boi 
981	Norte	Sallim Solução Amor no Coração 
982	Oeste: Barra e JPA	Madurão 
983	Norte	Advogado de Deus 
984	Oeste: Barra e JPA	Donizete Gato Preto 
985	Oeste: Outros	Ricardo Fucinho 
986	Oeste: Barra e JPA	Tadeu Tô Contigo 
987	Grande Méier	Tadeu Tô Contigo 
988	Oeste: Barra e JPA	Ricardo Fucinho 
989	Norte	Advogado de Deus 
990	Oeste: Barra e JPA	Madurão 
991	Oeste: Outros	Ricardo Fucinho 
992	Grande Méier	Tadeu Tô Contigo 
993	Oeste: Outros	Donizete Gato Preto 
994	Oeste: Barra e JPA	Advogado de Deus 
995	Oeste: Grande Bangu	Madurão 
996	Grande Méier	Itamar Boi 
997	Oeste: Outros	Donizete Gato Preto 
998	Oeste: Barra e JPA	Itamar Boi 
999	Grande Méier	Ricardo Fucinho 
1000	Oeste: Barra e JPA	Donizete Gato Preto 
1001	Oeste: Outros	Sallim Solução Amor no Coração 
1002	Grande Méier	Madurão 
1003	Oeste: Outros	Sallim Solução Amor no Coração 
1004	Oeste: Barra e JPA	Itamar Boi 
1005	Oeste: Outros	Sallim Solução Amor no Coração 
1006	Oeste: Grande Bangu	Advogado de Deus 
1007	Oeste: Grande Bangu	Sallim Solução Amor no Coração 
1008	Oeste: Grande Bangu	Madurão 
1009	Oeste: Barra e JPA	Tadeu Tô Contigo 
1010	Oeste: Barra e JPA	Advogado de Deus 
1011	Oeste: Grande Bangu	Donizete Gato Preto 
1012	Oeste: Grande Bangu	Itamar Boi 
1013	Grande Méier	Tadeu Tô Contigo 
1014	Norte	Itamar Boi 
1015	Norte	Sallim Solução Amor no Coração 
1016	Oeste: Barra e JPA	Donizete Gato Preto 
1017	Oeste: Grande Bangu	Tadeu Tô Contigo 
1018	Oeste: Barra e JPA	Madurão 
1019	Grande Méier	Ricardo Fucinho 
1020	Oeste: Grande Bangu	Ricardo Fucinho 
1021	Oeste: Barra e JPA	Sallim Solução Amor no Coração 
1022	Norte	Donizete Gato Preto 
1023	Oeste: Grande Bangu	Donizete Gato Preto 
1024	Grande Méier	Sallim Solução Amor no Coração 
1025	Norte	Advogado de Deus 
1026	Oeste: Barra e JPA	Sallim Solução Amor no Coração 
1027	Oeste: Barra e JPA	Sallim Solução Amor no Coração 
1028	Grande Méier	Ricardo Fucinho 
1029	Grande Méier	Itamar Boi 
1030	Oeste: Barra e JPA	Itamar Boi 
1031	Oeste: Grande Bangu	Donizete Gato Preto 
1032	Oeste: Outros	Advogado de Deus 
1033	Oeste: Outros	Advogado de Deus 
1034	Norte	Tadeu Tô Contigo 
1035	Oeste: Outros	Itamar Boi 
1036	Oeste: Barra e JPA	Madurão 
1037	Oeste: Barra e JPA	Itamar Boi 
1038	Oeste: Grande Bangu	Madurão 
1039	Oeste: Barra e JPA	Tadeu Tô Contigo 
1040	Oeste: Outros	Madurão 
1041	Grande Méier	Ricardo Fucinho 
1042	Oeste: Outros	Donizete Gato Preto 
1043	Oeste: Barra e JPA	Donizete Gato Preto 
1044	Oeste: Outros	Sallim Solução Amor no Coração 
1045	Oeste: Barra e JPA	Madurão 
1046	Grande Méier	Madurão 
1047	Norte	Sallim Solução Amor no Coração 
1048	Oeste: Outros	Tadeu Tô Contigo 
1049	Oeste: Barra e JPA	Donizete Gato Preto 
1050	Norte	Donizete Gato Preto 
1051	Norte	Tadeu Tô Contigo 
1052	Grande Méier	Advogado de Deus 
1053	Oeste: Outros	Sallim Solução Amor no Coração 
1054	Oeste: Outros	Tadeu Tô Contigo 
1055	Oeste: Barra e JPA	Sallim Solução Amor no Coração 
1056	Oeste: Grande Bangu	Donizete Gato Preto 
1057	Grande Méier	Madurão 
1058	Grande Méier	Donizete Gato Preto 
1059	Grande Méier	Itamar Boi 
1060	Oeste: Grande Bangu	Donizete Gato Preto 
1061	Norte	Itamar Boi 
1062	Grande Méier	Sallim Solução Amor no Coração 
1063	Oeste: Grande Bangu	Donizete Gato Preto 
1064	Oeste: Outros	Itamar Boi 
1065	Oeste: Barra e JPA	Itamar Boi 
1066	Oeste: Grande Bangu	Tadeu Tô Contigo 
1067	Oeste: Grande Bangu	Tadeu Tô Contigo 
1068	Grande Méier	Madurão 
1069	Ilha e Leopoldina	Madurão 
1070	Ilha e Leopoldina	Donizete Gato Preto 
1071	Norte	Donizete Gato Preto 
1072	Central	Sallim Solução Amor no Coração 
1073	Ilha e Leopoldina	Advogado de Deus 
1074	Grande Tijuca	Donizete Gato Preto 
1075	Grande Tijuca	Madurão 
1076	Central	Sallim Solução Amor no Coração 
1077	Sul	Tadeu Tô Contigo 
1078	Norte	Sallim Solução Amor no Coração 
1079	Ilha e Leopoldina	Tadeu Tô Contigo 
1080	Oeste: Outros	Madurão 
1081	Norte	Donizete Gato Preto 
1082	Grande Tijuca	Donizete Gato Preto 
1083	Norte	Itamar Boi 
1084	Sul	Donizete Gato Preto 
1085	Oeste: Outros	Sallim Solução Amor no Coração 
1086	Norte	Ricardo Fucinho 
1087	Sul	Madurão 
1088	Norte	Ricardo Fucinho 
1089	Ilha e Leopoldina	Madurão 
1090	Norte	Tadeu Tô Contigo 
1091	Oeste: Outros	Itamar Boi 
1092	Sul	Madurão 
1093	Central	Madurão 
1094	Central	Madurão 
1095	Oeste: Outros	Advogado de Deus 
1096	Central	Donizete Gato Preto 
1097	Ilha e Leopoldina	Advogado de Deus 
1098	Sul	Ricardo Fucinho 
1099	Oeste: Outros	Ricardo Fucinho 
1100	Central	Sallim Solução Amor no Coração 
1101	Oeste: Outros	Sallim Solução Amor no Coração 
1102	Norte	Ricardo Fucinho 
1103	Norte	Sallim Solução Amor no Coração 
1104	Grande Tijuca	Sallim Solução Amor no Coração 
1105	Grande Tijuca	Sallim Solução Amor no Coração 
1106	Central	Madurão 
1107	Central	Donizete Gato Preto 
1108	Central	Sallim Solução Amor no Coração 
1109	Ilha e Leopoldina	Donizete Gato Preto 
1110	Central	Advogado de Deus 
1111	Norte	Donizete Gato Preto 
1112	Central	Tadeu Tô Contigo 
1113	Norte	Itamar Boi 
1114	Central	Donizete Gato Preto 
1115	Sul	Advogado de Deus 
1116	Oeste: Outros	Ricardo Fucinho 
1117	Central	Madurão 
1118	Oeste: Outros	Sallim Solução Amor no Coração 
1119	Oeste: Outros	Tadeu Tô Contigo 
1120	Ilha e Leopoldina	Ricardo Fucinho 
1121	Sul	Advogado de Deus 
1122	Norte	Tadeu Tô Contigo 
1123	Grande Tijuca	Sallim Solução Amor no Coração 
1124	Oeste: Outros	Madurão 
1125	Grande Tijuca	Ricardo Fucinho 
1126	Sul	Sallim Solução Amor no Coração 
1127	Oeste: Outros	Donizete Gato Preto 
1128	Norte	Sallim Solução Amor no Coração 
1129	Central	Itamar Boi 
1130	Grande Tijuca	Sallim Solução Amor no Coração 
1131	Central	Sallim Solução Amor no Coração 
1132	Norte	Madurão 
1133	Ilha e Leopoldina	Donizete Gato Preto 
1134	Norte	Tadeu Tô Contigo 
1135	Central	Sallim Solução Amor no Coração 
1136	Central	Sallim Solução Amor no Coração 
1137	Central	Itamar Boi 
1138	Oeste: Outros	Tadeu Tô Contigo 
1139	Oeste: Outros	Madurão 
1140	Ilha e Leopoldina	Tadeu Tô Contigo 
1141	Ilha e Leopoldina	Madurão 
1142	Ilha e Leopoldina	Sallim Solução Amor no Coração 
1143	Central	Itamar Boi 
1144	Oeste: Outros	Donizete Gato Preto 
1145	Grande Tijuca	Itamar Boi 
1146	Sul	Advogado de Deus 
1147	Oeste: Outros	Tadeu Tô Contigo 
1148	Central	Madurão 
1149	Norte	Advogado de Deus 
1150	Central	Sallim Solução Amor no Coração 
1151	Norte	Itamar Boi 
1152	Grande Tijuca	Tadeu Tô Contigo 
1153	Grande Tijuca	Itamar Boi 
1154	Oeste: Outros	Ricardo Fucinho 
1155	Norte	Ricardo Fucinho 
1156	Central	Advogado de Deus 
1157	Sul	Sallim Solução Amor no Coração 
1158	Central	Donizete Gato Preto 
1159	Central	Itamar Boi 
1160	Ilha e Leopoldina	Sallim Solução Amor no Coração 
1161	Oeste: Outros	Advogado de Deus 
1162	Central	Tadeu Tô Contigo 
1163	Sul	Madurão 
1164	Sul	Advogado de Deus 
1165	Norte	Donizete Gato Preto 
1166	Ilha e Leopoldina	Itamar Boi 
1167	Grande Tijuca	Sallim Solução Amor no Coração 
1168	Sul	Ricardo Fucinho 
1169	Grande Tijuca	Donizete Gato Preto 
1170	Ilha e Leopoldina	Advogado de Deus 
1171	Grande Tijuca	Tadeu Tô Contigo 
1172	Central	Donizete Gato Preto 
1173	Ilha e Leopoldina	Donizete Gato Preto 
1174	Norte	Itamar Boi 
1175	Sul	Itamar Boi 
1176	Norte	Donizete Gato Preto 
1177	Central	Donizete Gato Preto 
1178	Oeste: Outros	Tadeu Tô Contigo 
1179	Norte	Sallim Solução Amor no Coração 
1180	Sul	Tadeu Tô Contigo 
1181	Grande Tijuca	Sallim Solução Amor no Coração 
1182	Ilha e Leopoldina	Advogado de Deus 
1183	Norte	Advogado de Deus 
1184	Central	Donizete Gato Preto 
1185	Ilha e Leopoldina	Donizete Gato Preto 
1186	Oeste: Outros	Sallim Solução Amor no Coração 
1187	Central	Itamar Boi 
1188	Grande Tijuca	Madurão 
1189	Central	Sallim Solução Amor no Coração 
1190	Ilha e Leopoldina	Advogado de Deus 
1191	Sul	Itamar Boi 
1192	Norte	Donizete Gato Preto 
1193	Ilha e Leopoldina	Sallim Solução Amor no Coração 
1194	Oeste: Outros	Madurão 
1195	Norte	Tadeu Tô Contigo 
1196	Oeste: Outros	Sallim Solução Amor no Coração 
1197	Ilha e Leopoldina	Donizete Gato Preto 
1198	Grande Tijuca	Sallim Solução Amor no Coração 
1199	Grande Tijuca	Valéria Minha Prima 
1200	Norte	Enia da Toca da Onça 
1201	Norte	Professor Goiaba 
1202	Sul	Ferreira do Suvacão 
1203	Ilha e Leopoldina	Quinzinho da Água Parada 
1204	Oeste: Outros	Madurão 
1205	Norte	Itamar Boi 
1206	Central	Valéria Minha Prima 
1207	Sul	Enia da Toca da Onça 
1208	Grande Tijuca	Ângela do Zé Rolinha 
1209	Sul	Sallim Solução Amor no Coração 
1210	Central	Adriano Pirulito 
1211	Sul	Ângela do Zé Rolinha 
1212	Oeste: Outros	Herminho Anão da VGC 
1213	Sul	Pé de Pato do Lixo 
1214	Central	Quinzinho da Água Parada 
1215	Sul	Itamar Boi 
1216	Ilha e Leopoldina	Alessandro Fuscão 
1217	Central	Donizete Gato Preto 
1218	Ilha e Leopoldina	Gordinho da Usina 
1219	Grande Tijuca	Zé Perninha 
1220	Grande Tijuca	Advogado de Deus 
1221	Ilha e Leopoldina	Agenor Passa Régua 
1222	Grande Tijuca	Adriano Pirulito 
1223	Sul	Professor Goiaba 
1224	Ilha e Leopoldina	Tadeu Tô Contigo 
1225	Norte	Zé Perninha 
1226	Oeste: Outros	Advogado de Deus 
1227	Norte	Ângela do Zé Rolinha 
1228	Norte	Ferreira do Suvacão 
